name,full_name,composition,doses,usage,icon,image_url_500by500,image_url_600by800,page_link,description
UG Advance MKP, Mono Potassium Phosphate,00:00:50,70-100 gm/ 1 litre,grapes | pomegranate,bi bi-pentagon-fill,../assets/img/products/500by500/ug-advance.jpg,../assets/img/products/600by800/ug-advance1.jpg,/products, Used in insecticides and fertilizers
UG Barebro, Boron,00:00:50,70-100 gm/ 1 litre,grapes | pomegranate,bi bi-pentagon-fill,../assets/img/products/500by500/ug-barebro.jpg,../assets/img/products/600by800/ug-barebro1.jpg,/products, Used in insecticides and fertilizers
UG CALBRO,Boron Calcium Oxide,00:00:50,70-100 gm/ 1 litre,grapes | pomegranate,bi bi-pentagon-fill,../assets/img/products/500by500/ug-calbro.jpg,../assets/img/products/600by800/ug-calbro1.jpg,/products, Used in insecticides and fertilizers
UG CALNITRA, Calcium Nitrate,00:00:50,1.5ml-2ml/L,grapes | pomegranate,bi bi-pentagon-fill,../assets/img/products/500by500/ug-calnitra.jpg,../assets/img/products/600by800/ug-calnitra1.jpg,/products, Used in insecticides and fertilizers
UG CALO, Calcium Oxide,00:00:50,70-100 gm/ 1 litre,grapes | pomegranate,bi bi-pentagon-fill,../assets/img/products/500by500/ug-calo.jpg,../assets/img/products/600by800/ug-calo.jpg,../assets/img/products/500by500/ug-calo.jpg,../assets/img/products/600by800/ug-calo.jpg,/products, Used in insecticides and fertilizers
UG FerTSol, Sulphate of Potash,00:00:50,70-100 gm/ 1 litre,grapes | pomegranate,bi bi-pentagon-fill,../assets/img/products/500by500/ug-fertsol.jpg,../assets/img/products/600by800/ug-fertsol1.jpg,/products, Used in insecticides and fertilizers
UG MAP,Mono Amonium Phosphate,00:00:50,70-100 gm/ 1 litre,grapes | pomegranate,bi bi-pentagon-fill,../assets/img/products/500by500/ug-map.jpg,../assets/img/products/600by800/ug-map1.jpg,/products, Used in insecticides and fertilizers
UG POTANT, Mono Potant Phosphate,00:00:50,70-100 gm/ 1 litre,grapes | pomegranate,bi bi-pentagon-fill,../assets/img/products/500by500/ug-potant.jpg,../assets/img/products/600by800/ug-potant1.jpg,/products, Used in insecticides and fertilizers
UG Real (+), Water Soluble NPK,00:00:50,70-100 gm/ 1 litre,grapes | pomegranate,bi bi-pentagon-fill,../assets/img/products/500by500/ug-real.jpg,../assets/img/products/600by800/ug-real1.jpg,/products, Used in insecticides and fertilizers
